Cities	Diseases	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	Growth Rate	OverallLi	Rank City	Mask
Bhilwara	cardiovascular	6	14	19	31	17	18	45	32	29	33	37	42	41	34	19.7	62.71	125	100020
Bhopal	cardiovascular	13	26	32	45	18	15	46	40	40	37	36	44	52	33	21.06	82.26	17	100021
Bijapur	cardiovascular	11	15	18	31	9	20	37	32	27	35	31	34	32	30	25.25	50.77	138	100022
Bikaner	cardiovascular	15	26	38	56	24	37	57	38	41	40	46	44	41	29	15.49	65.92	67	100023
Bokaro	cardiovascular	8	10	15	23	19	16	38	26	34	28	43	62	56	42	20.57	73.48	110	100024
Bulandshahr	cardiovascular	7	14	19	31	24	23	61	40	47	44	47	52	53	44	14.81	70.23	205	100025
Chandigarh	cardiovascular	10	18	25	48	41	24	40	54	51	45	42	38	47	41	17.37	86.43	48	100026
Chandrapur	cardiovascular	5	19	26	31	20	22	56	44	53	45	53	55	60	41	15.01	81.35	141	100027
Chennai	cardiovascular	7	18	27	27	29	22	44	40	44	37	49	52	41	35	37.48	90.33	6	100028
Coimbatore	cardiovascular	5	15	19	34	21	19	32	45	41	27	41	45	44	33	12.58	84.31	23	100029
Cuttack	cardiovascular	0	0	34	34	32	10	26	49	34	25	25	36	35	29	12.06	84.2	72	100030
Darbhanga	cardiovascular	12	12	20	29	18	21	33	37	43	39	51	42	38	34	23.83	58.26	155	100031
Davanagere	cardiovascular	8	28	29	44	32	28	64	47	53	50	52	63	51	56	6.1	76.3	105	100032
Dehradun	cardiovascular	0	59	0	0	0	0	69	38	38	49	38	37	48	22	24.33	85.24	77	100033
Dewas	cardiovascular	11	35	18	30	29	45	48	41	23	38	46	48	39	24	23.62	70.53	158	100034
Dhanbad	cardiovascular	7	19	22	32	21	20	47	40	37	33	41	45	44	37	9.3	75.71	35	100035
Dhule	cardiovascular	9	15	24	37	28	30	65	51	59	57	72	78	72	52	11.99	74.61	121	100036
Durg	cardiovascular	5	11	12	34	17	27	59	30	30	26	38	32	39	24	23.66	79.69	173	100037
Erode	cardiovascular	8	16	25	38	26	23	47	44	43	40	49	51	49	40	16.68	72.96	95	100038
Etawah	cardiovascular	5	12	20	27	20	28	63	49	59	54	60	73	66	52	21.86	79.99	180	100039
Faridabad	cardiovascular	7	11	20	30	22	17	41	32	30	34	36	42	44	35	10.89	83.04	27	100040
Farrukhabad	cardiovascular	5	15	28	50	28	25	54	46	45	32	40	39	41	41	14.66	70.57	170	100041
Firozabad	cardiovascular	0	18	20	15	9	0	38	22	22	36	29	18	30	13	16.56	74.6	73	100042
Gaya	cardiovascular	6	10	20	24	19	22	42	34	34	30	39	44	39	31	20.59	66.35	101	100043
Ghaziabad	cardiovascular	3	11	24	45	26	19	25	35	34	37	23	55	51	30	27.06	85	21	100044
Gorakhpur	cardiovascular	6	12	15	33	34	25	43	45	42	38	38	44	46	35	-1.73	73.25	66	100045
Gulbarga	cardiovascular	7	9	19	20	21	22	40	43	44	45	16	14	52	45	8.73	65.65	85	100046
Guntur	cardiovascular	8	17	12	37	21	26	44	48	51	43	58	53	52	44	-1.51	67.99	63	100047
Gurgaon	cardiovascular	3	16	17	30	18	21	41	29	32	36	38	39	38	27	10.23	84.44	55	100048
Gwalior	cardiovascular	7	20	20	24	17	18	33	28	34	33	32	41	39	28	11.39	77.93	42	100049
Hyderabad	cardiovascular	2	12	9	22	19	19	49	33	42	25	40	53	45	41	21.18	80.96	4	100050
Indore	cardiovascular	0	0	0	62	37	0	75	24	33	26	19	25	35	38	25.85	82.32	15	100051
Jabalpur	cardiovascular	0	0	15	30	15	21	21	28	38	32	33	35	33	28	8.67	82.47	41	100052
Jaipur	cardiovascular	7	15	18	21	10	15	30	32	35	23	39	45	42	30	20.86	76.44	10	100053
Jalandhar	cardiovascular	6	15	20	31	19	21	43	31	28	28	35	37	41	32	17.1	82.4	57	100054
Jalgaon	cardiovascular	8	12	19	35	7	17	51	24	34	31	40	53	53	25	10.06	79.73	102	100055
Jalna	cardiovascular	9	27	30	49	30	38	65	64	57	50	58	60	61	41	18.51	73.61	162	100056
Jammu	cardiovascular	5	12	24	26	17	36	51	27	36	30	35	33	44	35	27.63	83.98	92	100057
Jamnagar	cardiovascular	11	26	17	34	13	27	62	25	26	24	42	41	45	24	13.43	74.4	86	100058
Jhansi	cardiovascular	10	17	22	18	9	14	56	33	31	36	40	46	38	28	37.94	76.37	90	100059
Jodhpur	cardiovascular	18	46	53	100	41	51	98	100	100	100	85	98	100	70	10.9	67.09	44	100060
Junagadh	cardiovascular	9	15	28	29	20	16	42	50	41	43	50	63	59	48	11.87	76.88	142	100061
Kadapa	cardiovascular	7	15	23	38	25	25	46	35	34	31	41	48	46	37	19.8	67.88	132	100062
Karimnagar	cardiovascular	7	15	20	27	19	20	33	26	27	27	36	39	41	35	23.49	64.87	178	100063
Karnal	cardiovascular	5	15	33	33	27	12	60	42	40	42	55	58	39	39	15.19	76.44	160	100064
Katihar	cardiovascular	11	15	16	34	33	26	61	44	45	39	35	49	55	41	19.26	53.56	199	100065
Khammam	cardiovascular	0	0	0	22	46	28	21	25	41	25	14	34	33	31	12.77	65.46	151	100066
Kolhapur	cardiovascular	11	21	31	52	33	40	84	62	69	67	70	85	75	64	13.38	82.9	82	100067
Kolkata	cardiovascular	0	38	41	45	10	31	46	46	35	41	30	35	39	33	25.48	87.14	7	100068
Kollam	cardiovascular	4	27	22	32	19	21	68	69	53	40	55	58	68	50	16.09	93.77	130	100069
Korba	cardiovascular	0	0	16	29	18	13	24	20	23	23	25	36	34	25	15.7	73.22	124	100070
Kota	cardiovascular	6	17	21	29	20	9	33	31	31	32	34	37	34	34	16.1	77.48	46	100071
Kozhikode	cardiovascular	5	15	20	31	21	23	37	28	28	27	30	36	33	30	11.81	95.24	106	100072
Kurnool	cardiovascular	11	23	31	33	32	25	64	42	37	48	51	54	47	42	22.7	61.13	107	100073
Latur	cardiovascular	11	69	31	47	38	30	52	51	76	41	64	68	57	49	21.86	79.03	120	100074
Lucknow	cardiovascular	8	20	37	44	30	37	72	66	78	70	79	83	90	77	27.97	79.33	11	100075
Ludhiana	cardiovascular	5	12	24	41	27	29	55	42	31	27	41	43	40	36	16.9	82.54	22	100076
Madurai	cardiovascular	13	19	39	62	25	27	52	64	54	62	71	87	89	78	-5.1	81.66	25	100077
Mathura	cardiovascular	6	22	12	26	24	15	40	39	36	29	38	41	39	36	26.58	72.65	129	100078
Mau	cardiovascular	5	16	17	29	22	21	41	32	32	27	32	43	45	32	9.72	75.16	168	100079
Meerut	cardiovascular	5	13	26	40	25	19	46	33	38	48	47	42	50	36	10.08	74.8	28	100080
Mirzapur	cardiovascular	5	14	15	21	19	12	29	30	39	33	68	67	40	39	23.08	70.38	193	100081
Muzaffarnagar	cardiovascular	10	16	23	35	29	25	64	48	45	36	43	49	42	36	32.22	70.11	117	100082
Muzaffarpur	cardiovascular	0	21	44	34	13	28	49	24	34	31	39	39	44	32	23.66	65.68	127	100083
Mysore	cardiovascular	0	29	38	32	7	28	33	26	27	33	53	32	50	32	19.28	72.56	53	100084
Nagpur	cardiovascular	4	10	17	21	9	20	30	31	27	30	38	25	35	29	12.48	89.52	13	100085
Nanded	cardiovascular	8	19	33	42	27	23	76	67	50	28	48	55	54	47	15.98	76.94	81	100086
Nashik	cardiovascular	7	17	20	35	13	22	41	30	33	36	43	47	45	34	14.65	80.96	26	100087
Nellore	cardiovascular	6	12	22	37	21	21	30	32	38	22	28	51	43	38	13.39	69.15	75	100088
New Delhi	cardiovascular	7	8	15	29	16	17	39	30	28	27	33	39	45	33	-5.25	89.38	185	100089
Nizamabad	cardiovascular	7	14	29	38	19	19	44	48	40	40	54	54	58	44	22.53	62.25	148	100090
Pali	cardiovascular	10	17	23	22	20	27	49	34	51	43	65	57	44	45	17.17	63.23	195	100091
Panipat	cardiovascular	7	19	26	48	31	34	59	57	72	65	100	94	88	78	23.4	77.46	154	100092
Parbhani	cardiovascular	5	18	19	35	25	25	39	46	43	35	49	53	41	31	21	75.22	149	100093
Patiala	cardiovascular	6	16	23	58	38	27	49	69	70	59	73	56	58	46	26.91	76.26	113	100094
Patna	cardiovascular	9	27	28	30	19	28	50	38	52	45	73	66	60	46	36.3	72.47	19	100095
Pondicherry	cardiovascular	0	74	100	73	72	26	68	47	54	37	53	100	87	100	18.05	86.13	189	100096
Pune	cardiovascular	12	15	21	38	25	26	51	60	50	51	64	64	67	51	27.89	87.19	9	100097
Purnia	cardiovascular	13	20	48	24	32	39	75	70	55	54	43	73	52	44	16.3	52.49	166	100098
Raichur	cardiovascular	13	25	25	32	24	23	48	45	59	50	58	56	67	43	14.23	60.46	194	100099
Raipur	cardiovascular	7	19	17	30	19	25	49	37	32	28	39	43	38	31	16.08	76.43	45	100100
Rajkot	cardiovascular	7	22	19	35	17	24	63	44	58	53	52	59	56	47	16.24	82.2	29	100101
Rampur	cardiovascular	22	18	15	73	14	20	29	34	53	44	39	61	59	34	21.4	55.08	139	100102
Ranchi	cardiovascular	100	73	71	0	0	0	0	94	32	22	29	43	60	31	6.85	77.13	39	100103
Ratlam	cardiovascular	5	6	16	13	13	14	23	26	22	27	32	29	39	19	29.29	68.03	175	100104
Rewa	cardiovascular	6	8	15	27	16	15	31	28	26	29	26	38	36	28	17.69	73.42	192	100105
Rohtak	cardiovascular	12	21	12	16	17	7	52	28	18	20	23	50	45	14	17.33	80.37	123	100106
Sagar	cardiovascular	0	0	25	47	13	19	23	25	55	42	52	51	40	44	24.57	77.52	171	100107
Saharanpur	cardiovascular	6	13	15	26	17	18	39	30	29	27	30	37	36	28	5.13	72.03	65	100108
Salem	cardiovascular	5	11	14	22	12	14	25	24	32	30	26	41	33	28	5.6	73.23	59	100109
Sambalpur	cardiovascular	5	12	17	32	19	22	50	45	44	40	47	54	54	46	22.84	40.77	134	100110
Satara	cardiovascular	18	27	33	33	17	9	31	34	35	30	21	40	38	31	17.64	84.2	137	100111
Satna	cardiovascular	4	8	18	24	17	19	39	25	29	29	37	36	38	28	14.82	73.79	167	100112
Shahjahanpur	cardiovascular	9	15	21	16	30	21	57	45	39	34	14	25	36	26	16.8	61.61	136	100113
Sikar	cardiovascular	4	14	13	17	13	22	27	31	35	28	36	34	33	28	20.71	72.98	190	100114
Siliguri	cardiovascular	0	12	14	25	24	10	52	37	39	26	28	47	31	27	31.75	85.46	89	100115
Singrauli	cardiovascular	5	17	24	33	19	26	63	45	44	38	62	60	63	52	13.45	62.36	209	100116
Solapur	cardiovascular	16	15	20	20	10	0	43	37	28	16	30	27	17	10	11.62	77.72	49	100117
Sonipat	cardiovascular	0	18	29	0	11	14	29	27	33	20	36	22	26	27	14.87	80.83	169	100118
Srinagar	cardiovascular	11	0	22	12	15	18	38	31	22	36	29	24	43	19	12.58	71.21	33	100119
Surat	cardiovascular	5	9	13	25	19	17	43	37	35	38	44	40	45	27	20.18	86.65	8	100120
Thane	cardiovascular	6	8	16	22	13	18	37	27	30	34	33	39	40	29	26.31	86.18	16	100121
Thanjavur	cardiovascular	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.27	82.72	204	100122
Thiruvananthapuram	cardiovascular	5	11	13	22	9	15	26	26	35	38	37	43	52	44	32.48	92.66	62	100123
Thrissur	cardiovascular	0	13	0	28	14	13	37	15	26	13	29	29	29	35	41.66	95.32	143	100124
Tiruchirappalli	cardiovascular	5	11	14	22	14	16	35	27	26	26	32	35	39	33	19.4	83.56	51	100125
Tirunelveli	cardiovascular	13	10	7	14	11	6	29	21	24	21	32	35	29	27	18.91	82.92	98	100126
Tumkur	cardiovascular	12	11	13	24	14	13	43	30	29	29	25	37	36	23	21.62	74.32	150	100127
Udaipur	cardiovascular	4	11	14	21	13	13	29	23	22	21	23	25	28	22	17.24	62.74	103	100128
Ujjain	cardiovascular	4	14	14	24	14	14	38	27	30	24	21	32	39	31	17.09	73.55	87	100129
Vadodara	cardiovascular	4	12	20	16	10	10	29	23	25	23	30	26	32	27	7.3	81.21	20	100130
Varanasi	cardiovascular	4	10	15	30	18	19	44	39	44	32	38	34	37	31	15.61	77.05	32	100131
Visakhapatnam	cardiovascular	4	10	10	38	16	10	30	23	32	30	35	38	36	38	20.38	67.7	14	100132
Warangal	cardiovascular	6	16	18	28	16	24	39	29	37	31	37	34	36	33	1.93	66.16	61	100133
