Cities	Diseases	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	Growth Rate	OverallLi	Rank City	Mask
Jalna	Stroke	12	43	24	69	85	62	56	69	67	71	70	56	66	75	18.51	73.61	162	100056
Jammu	Stroke	15	25	25	54	50	53	41	58	57	60	61	58	58	67	27.63	83.98	92	100057
Jamnagar	Stroke	30	88	38	60	72	38	40	54	65	82	72	53	65	84	13.43	74.4	86	100058
Jhansi	Stroke	20	49	27	64	75	53	42	56	64	63	54	60	58	63	37.94	76.37	90	100059
Jodhpur	Stroke	26	68	38	75	88	76	59	87	93	90	66	66	74	88	10.9	67.09	44	100060
Junagadh	Stroke	22	30	27	49	46	47	44	61	61	74	63	62	68	77	11.87	76.88	142	100061
Kadapa	Stroke	15	46	23	50	57	51	41	58	59	65	57	55	64	68	19.8	67.88	132	100062
Karimnagar	Stroke	16	41	22	45	52	48	33	49	50	54	48	47	53	55	23.49	64.87	178	100063
Karnal	Stroke	13	45	22	53	60	50	54	51	60	64	55	59	59	75	15.19	76.44	160	100064
Katihar	Stroke	14	37	16	50	49	49	35	54	55	59	56	51	51	65	19.26	53.56	199	100065
Khammam	Stroke	35	68	15	46	53	47	33	65	64	75	44	43	70	57	12.77	65.46	151	100066
Kolhapur	Stroke	22	54	27	70	73	60	50	64	63	72	64	62	69	81	13.38	82.9	82	100067
Kolkata	Stroke	14	62	28	67	55	69	52	61	68	79	61	71	68	73	25.48	87.14	7	100068
Kollam	Stroke	17	40	23	54	55	66	43	70	65	76	69	56	73	84	16.09	93.77	130	100069
Korba	Stroke	14	45	27	50	36	70	39	48	57	63	56	45	51	56	15.7	73.22	124	100070
Kota	Stroke	16	37	22	59	49	53	44	47	56	60	54	50	56	67	16.1	77.48	46	100071
Kozhikode	Stroke	13	35	22	42	50	46	35	50	51	57	52	45	52	54	11.81	95.24	106	100072
Kurnool	Stroke	15	45	22	58	58	67	51	64	59	69	68	56	63	72	22.7	61.13	107	100073
Latur	Stroke	17	31	21	66	64	51	54	59	63	69	65	64	65	75	21.86	79.03	120	100074
Lucknow	Stroke	15	38	23	56	58	60	40	60	59	62	63	58	60	68	27.97	79.33	11	100075
Ludhiana	Stroke	15	34	23	55	59	58	37	47	43	52	53	47	49	57	16.9	82.54	22	100076
Madurai	Stroke	14	37	25	57	55	47	44	62	64	71	69	67	68	74	-5.1	81.66	25	100077
Mathura	Stroke	22	41	20	67	65	58	45	64	60	72	67	64	75	70	26.58	72.65	129	100078
Mau	Stroke	12	41	20	48	53	53	37	60	55	71	60	56	58	64	9.72	75.16	168	100079
Meerut	Stroke	19	40	25	53	63	43	40	58	52	60	47	44	60	65	10.08	74.8	28	100080
Mirzapur	Stroke	17	56	25	51	70	59	50	65	70	88	81	72	70	78	23.08	70.38	193	100081
Muzaffarnagar	Stroke	18	44	23	54	66	55	54	64	63	72	65	59	66	74	32.22	70.11	117	100082
Muzaffarpur	Stroke	15	45	10	34	33	59	41	66	58	58	54	42	64	73	23.66	65.68	127	100083
Mysore	Stroke	16	36	20	64	61	37	42	46	57	64	59	51	69	68	19.28	72.56	53	100084
Nagpur	Stroke	19	41	26	54	55	58	45	61	62	67	58	44	56	61	12.48	89.52	13	100085
Nanded	Stroke	14	28	20	64	58	51	54	69	70	60	60	57	63	70	15.98	76.94	81	100086
Nashik	Stroke	14	54	30	63	59	55	51	71	63	67	67	65	69	73	14.65	80.96	26	100087
Nellore	Stroke	21	49	23	63	67	61	39	63	59	64	51	57	65	70	13.39	69.15	75	100088
New Delhi	Stroke	15	43	22	58	59	57	40	52	56	60	53	52	52	62	-5.25	89.38	185	100089
Nizamabad	Stroke	18	48	27	60	47	60	39	61	57	63	53	58	59	70	22.53	62.25	148	100090
Pali	Stroke	18	39	26	57	45	44	51	63	61	74	56	53	63	74	17.17	63.23	195	100091
Panipat	Stroke	11	47	19	61	57	51	40	62	63	70	61	61	60	73	23.4	77.46	154	100092
Parbhani	Stroke	16	45	23	59	62	62	43	72	77	84	78	72	74	80	21	75.22	149	100093
Patiala	Stroke	13	44	30	72	64	61	40	66	66	75	73	66	78	90	26.91	76.26	113	100094
Patna	Stroke	19	44	19	54	59	49	43	62	62	74	68	59	71	83	36.3	72.47	19	100095
Pondicherry	Stroke	0	78	21	69	69	81	35	62	60	66	77	50	62	76	18.05	86.13	189	100096
Pune	Stroke	19	39	27	58	54	55	43	57	61	70	61	55	61	67	27.89	87.19	9	100097
Purnia	Stroke	15	35	26	77	22	39	37	46	69	79	70	52	71	72	16.3	52.49	166	100098
Raichur	Stroke	17	53	20	49	56	49	40	68	63	78	70	63	68	74	14.23	60.46	194	100099
Raipur	Stroke	18	47	23	55	50	47	34	57	55	63	61	54	60	64	16.08	76.43	45	100100
Rajkot	Stroke	14	35	26	50	60	56	45	62	66	73	70	60	71	77	16.24	82.2	29	100101
Rampur	Stroke	17	47	23	69	73	46	39	53	61	62	57	55	68	81	21.4	55.08	139	100102
Ranchi	Stroke	57	60	45	38	33	57	52	86	56	69	62	62	77	74	6.85	77.13	39	100103
Ratlam	Stroke	16	47	26	65	70	68	50	59	64	74	68	67	71	80	29.29	68.03	175	100104
Rewa	Stroke	20	46	27	57	67	57	45	58	59	70	60	57	60	67	17.69	73.42	192	100105
Rohtak	Stroke	32	59	22	59	77	36	43	57	56	64	66	63	75	72	17.33	80.37	123	100106
Sagar	Stroke	19	21	12	26	35	30	22	27	30	39	46	39	40	48	24.57	77.52	171	100107
Saharanpur	Stroke	15	43	21	48	58	51	39	52	54	58	51	50	54	59	5.13	72.03	65	100108
Salem	Stroke	19	41	23	50	60	49	36	52	55	60	56	48	58	61	5.6	73.23	59	100109
Sambalpur	Stroke	17	40	23	49	58	48	38	55	57	60	57	52	58	64	22.84	40.77	134	100110
Satara	Stroke	20	68	39	76	51	53	66	67	59	70	73	61	63	78	17.64	84.2	137	100111
Satna	Stroke	16	39	24	60	63	61	42	57	59	70	59	59	60	70	14.82	73.79	167	100112
Shahjahanpur	Stroke	17	52	20	58	65	64	31	53	65	68	72	51	60	59	16.8	61.61	136	100113
Sikar	Stroke	16	48	28	54	70	61	52	61	68	67	66	63	74	73	20.71	72.98	190	100114
Siliguri	Stroke	15	32	37	50	67	54	47	67	68	69	64	62	66	70	31.75	85.46	89	100115
Singrauli	Stroke	13	34	18	47	39	41	31	44	40	49	42	38	47	53	13.45	62.36	209	100116
Solapur	Stroke	19	52	25	67	87	45	47	65	59	79	68	65	75	75	11.62	77.72	49	100117
Sonipat	Stroke	17	40	28	55	82	72	47	64	79	79	78	60	66	93	14.87	80.83	169	100118
Srinagar	Stroke	8	65	14	37	53	54	41	66	73	91	68	66	69	74	12.58	71.21	33	100119
Surat	Stroke	18	44	22	46	66	51	39	57	61	60	55	52	57	64	20.18	86.65	8	100120
Thane	Stroke	13	48	24	50	63	55	41	55	56	61	57	53	58	65	26.31	86.18	16	100121
Thanjavur	Stroke	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.27	82.72	204	100122
Thiruvananthapuram	Stroke	14	50	18	36	68	42	29	51	52	49	53	48	51	58	32.48	92.66	62	100123
Thrissur	Stroke	13	36	23	72	94	47	38	42	61	61	51	51	61	76	41.66	95.32	143	100124
Tiruchirappalli	Stroke	15	35	18	43	49	45	34	47	50	52	48	46	50	55	19.4	83.56	51	100125
Tirunelveli	Stroke	14	44	23	55	49	51	35	57	66	79	60	55	57	70	18.91	82.92	98	100126
Tumkur	Stroke	19	51	25	56	70	49	49	70	67	76	69	62	60	77	21.62	74.32	150	100127
Udaipur	Stroke	15	39	21	46	56	54	38	52	54	62	55	53	54	63	17.24	62.74	103	100128
Ujjain	Stroke	18	42	24	54	55	55	42	56	57	41	36	40	55	62	17.09	73.55	87	100129
Vadodara	Stroke	12	45	22	41	45	42	26	47	58	60	53	50	49	55	7.3	81.21	20	100130
Varanasi	Stroke	16	35	20	43	45	41	35	49	50	56	53	45	49	55	15.61	77.05	32	100131
Visakhapatnam	Stroke	22	45	28	51	85	52	37	61	62	72	69	63	67	76	20.38	67.7	14	100132
Warangal	Stroke	17	47	23	59	66	56	39	60	65	74	64	58	67	77	1.93	66.16	61	100133
